Referencia,Descripcion,Talla,UnidadesPorCaja
GNC300-1,GUANTES DE NITRILO AZUL SIN POLVO COMFORT 300 LUNA (300 unidades),S,10
GNC300-2,GUANTES DE NITRILO AZUL SIN POLVO COMFORT 300 LUNA (300 unidades),M,10
GNC300-3,GUANTES DE NITRILO AZUL SIN POLVO COMFORT 300 LUNA (300 unidades),L,10
GNC300-4,GUANTES DE NITRILO AZUL SIN POLVO COMFORT 300 LUNA (250 unidades),XL,10
BIONIT00,GUANTES DE NITRILO AZUL SIN POLVO BIODEGRADABLE,XS,10
BIONIT01,GUANTES DE NITRILO AZUL SIN POLVO BIODEGRADABLE,S,10
BIONIT02,GUANTES DE NITRILO AZUL SIN POLVO BIODEGRADABLE,M,10
BIONIT03,GUANTES DE NITRILO AZUL SIN POLVO BIODEGRADABLE,L,10
BIONIT04,GUANTES DE NITRILO AZUL SIN POLVO BIODEGRADABLE,XL,10
GNATUR00,GUANTES DE EXAMEN DE NITRILO AZUL SIN POLVO NATURFEEL,XS,10
GNATUR01,GUANTES DE EXAMEN DE NITRILO AZUL SIN POLVO NATURFEEL,S,10
GNATUR02,GUANTES DE EXAMEN DE NITRILO AZUL SIN POLVO NATURFEEL,M,10
GNATUR03,GUANTES DE EXAMEN DE NITRILO AZUL SIN POLVO NATURFEEL,L,10
GNATUR04,GUANTES DE EXAMEN DE NITRILO AZUL SIN POLVO NATURFEEL,XL,10
GN00,"GUANTES SUPREME DE NITRILO AZUL SIN POLVO 3,5G.",XS,10
GN11,"GUANTES SUPREME DE NITRILO AZUL SIN POLVO 3,5G.",S,10
GN22,"GUANTES SUPREME DE NITRILO AZUL SIN POLVO 3,5G.",M,10
GN33,"GUANTES SUPREME DE NITRILO AZUL SIN POLVO 3,5G.",L,10
GN44,"GUANTES SUPREME DE NITRILO AZUL SIN POLVO 3,5G.",XL,10
GNV1,"GUANTES SUPREME DE NITRILO VIOLETA SIN POLVO 3,5G.",S,10
GNV2,"GUANTES SUPREME DE NITRILO VIOLETA SIN POLVO 3,5G.",M,10
GNV3,"GUANTES SUPREME DE NITRILO VIOLETA SIN POLVO 3,5G.",L,10
GNV4,"GUANTES SUPREME DE NITRILO VIOLETA SIN POLVO 3,5G.",XL,10
G801,"GUANTES SUPREME DE NITRILO NEGRO SIN POLVO 3,5G.",S,10
G802,"GUANTES SUPREME DE NITRILO NEGRO SIN POLVO 3,5G.",M,10
G803,"GUANTES SUPREME DE NITRILO NEGRO SIN POLVO 3,5G.",L,10
G804,"GUANTES SUPREME DE NITRILO NEGRO SIN POLVO 3,5G.",XL,10
GNBO,"GUANTES SUPREME DE NITRILO BLANCO SIN POLVO 3,5G.",XS,10
GNB1,"GUANTES SUPREME DE NITRILO BLANCO SIN POLVO 3,5G.",S,10
GNB2,"GUANTES SUPREME DE NITRILO BLANCO SIN POLVO 3,5G.",M,10
GNB3,"GUANTES SUPREME DE NITRILO BLANCO SIN POLVO 3,5G.",L,10
GNB4,"GUANTES SUPREME DE NITRILO BLANCO SIN POLVO 3,5G.",XL,10
GXTA01,GUANTES DE NITRILO AZUL SIN POLVO XTREME LUNA 5G.,S,10
GXTA02,GUANTES DE NITRILO AZUL SIN POLVO XTREME LUNA 5G.,M,10
GXTA03,GUANTES DE NITRILO AZUL SIN POLVO XTREME LUNA 5G.,L,10
GXTA04,GUANTES DE NITRILO AZUL SIN POLVO XTREME LUNA 5G.,XL,10
GXTN01,GUANTES DE NITRILO NEGRO SIN POLVO XTREME LUNA 5G.,S,10
GXTN02,GUANTES DE NITRILO NEGRO SIN POLVO XTREME LUNA 5G.,M,10
GXTN03,GUANTES DE NITRILO NEGRO SIN POLVO XTREME LUNA 5G.,L,10
GXTN04,GUANTES DE NITRILO NEGRO SIN POLVO XTREME LUNA 5G.,XL,10
GNX1,"GUANTES SUPREME DE NITRILO AZUL ALTA PROTECCIÓN 5,5G.",S,10
GNX2,"GUANTES SUPREME DE NITRILO AZUL ALTA PROTECCIÓN 5,5G.",M,10
GNX3,"GUANTES SUPREME DE NITRILO AZUL ALTA PROTECCIÓN 5,5G.",L,10
GNX4,"GUANTES SUPREME DE NITRILO AZUL ALTA PROTECCIÓN 5,5G.",XL,10
GRON1,"GUANTES SUPREME DE NITRILO NEGRO ALTA PROTECCIÓN 5,5G.",S,10
GRON2,"GUANTES SUPREME DE NITRILO NEGRO ALTA PROTECCIÓN 5,5G.",M,10
GRON3,"GUANTES SUPREME DE NITRILO NEGRO ALTA PROTECCIÓN 5,5G.",L,10
GRON4,"GUANTES SUPREME DE NITRILO NEGRO ALTA PROTECCIÓN 5,5G.",XL,10
GNGRIP02,"GUANTES DE NITRILO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (100 unidades)",M,10
GNGRIP03,"GUANTES DE NITRILO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (100 unidades)",L,10
GNGRIP04,"GUANTES DE NITRILO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (90 unidades)",XL,10
GNGRIP05,"GUANTES DE NITRILO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (90 unidades)",XXL,10
GNGRIP06,"GUANTES DE NITRILO NEGRO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (100 unidades)",M,10
GNGRIP07,"GUANTES DE NITRILO NEGRO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (100 unidades)",L,10
GNGRIP08,"GUANTES DE NITRILO NEGRO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (90 unidades)",XL,10
GNGRIP09,"GUANTES DE NITRILO NEGRO GLOVETROTTER SUPERGRIP DIAMANTADO 8,4G. (90 unidades)",XXL,10
G25,GUANTES DE NITRILO AZUL SIN POLVO 20 UDS,UNICA,72
G146,GUANTES DE NITRILO AZUL SIN POLVO 6 UDS,UNICA,180
G28,GUANTES DE NITRILO NEGRO SIN POLVO 20 UDS,UNICA,72
G166,GUANTES DE NITRILO NEGRO SIN POLVO 6 UDS,UNICA,180
GNDADO1,GUANTES DE NITRILO MULTIUSOS SIN POLVO DADO 30 UDS,S,36
